id,pred,gt,correct,invalid,elapsed
FB_CONN_000,True,False,False,False,1.5703730583190918
FB_CONN_001,True,False,False,False,22.372562170028687
FB_CONN_002,True,True,True,False,21.803400993347168
FB_CONN_003,True,True,True,False,22.017314672470093
FB_CONN_004,True,False,False,False,21.940126657485962
FB_CONN_005,True,False,False,False,21.978559732437134
FB_CONN_006,True,False,False,False,1.9059033393859863
FB_CONN_007,True,True,True,False,22.05198860168457
FB_CONN_008,True,False,False,False,21.751700162887573
FB_CONN_009,True,False,False,False,22.419008255004883
FB_CONN_010,True,True,True,False,22.18861174583435
FB_CONN_011,True,False,False,False,22.18815302848816
FB_CONN_012,True,False,False,False,22.430688619613647
FB_CONN_013,True,True,True,False,21.636802434921265
FB_CONN_014,True,False,False,False,22.04365348815918
FB_CONN_015,True,False,False,False,21.796658277511597
FB_CONN_016,True,False,False,False,1.1290936470031738
FB_CONN_017,True,False,False,False,22.170104026794434
FB_CONN_018,True,False,False,False,22.00482416152954
FB_CONN_019,True,False,False,False,21.60269570350647
FB_CONN_020,,True,False,True,148.86561369895935
FB_CONN_021,,False,False,True,149.10111904144287
FB_CONN_022,,False,False,True,129.6484112739563
FB_CONN_023,,False,False,True,130.22455644607544
FB_CONN_024,,True,False,True,129.71309185028076
FB_CONN_025,,False,False,True,149.6391019821167
FB_CONN_026,,False,False,True,130.40697765350342
FB_CONN_027,,False,False,True,149.39446997642517
FB_CONN_028,,False,False,True,130.2978162765503
FB_CONN_029,,False,False,True,130.69905185699463
FB_CONN_030,,False,False,True,129.5773572921753
FB_CONN_031,,False,False,True,130.29146909713745
FB_CONN_032,,False,False,True,149.494948387146
FB_CONN_033,,False,False,True,168.18309259414673
FB_CONN_034,,False,False,True,130.32959818840027
FB_CONN_035,,True,False,True,149.49870824813843
FB_CONN_036,,False,False,True,130.19301342964172
FB_CONN_037,,False,False,True,132.4886965751648
FB_CONN_038,,False,False,True,129.8941798210144
FB_CONN_039,,False,False,True,129.86883091926575
FB_CONN_040,,True,False,True,129.6275508403778
FB_CONN_041,,False,False,True,130.6719527244568
FB_CONN_042,,False,False,True,130.87447142601013
FB_CONN_043,,True,False,True,130.3050274848938
FB_CONN_044,,False,False,True,149.98006963729858
FB_CONN_045,,False,False,True,130.19430589675903
FB_CONN_046,,False,False,True,130.0131483078003
FB_CONN_047,,False,False,True,129.9925501346588
FB_CONN_048,,True,False,True,130.0157380104065
FB_CONN_049,,False,False,True,149.1318483352661
