id,pred,gt,correct,invalid,elapsed
FB_CONN_000,,False,False,True,372.1771893501282
FB_CONN_001,False,False,True,False,118.51663827896118
FB_CONN_002,False,True,False,False,66.44449877738953
FB_CONN_003,True,True,True,False,208.34817385673523
FB_CONN_004,False,False,True,False,83.35378408432007
FB_CONN_005,False,False,True,False,227.70134115219116
FB_CONN_006,False,False,True,False,229.72689294815063
FB_CONN_007,True,True,True,False,210.58352851867676
FB_CONN_008,False,False,True,False,97.28775453567505
FB_CONN_009,False,False,True,False,87.78609609603882
FB_CONN_010,False,True,False,False,204.58555340766907
FB_CONN_011,False,False,True,False,115.52874732017517
FB_CONN_012,False,False,True,False,198.68005347251892
FB_CONN_013,False,True,False,False,353.7457387447357
FB_CONN_014,False,False,True,False,93.04034185409546
FB_CONN_015,True,False,False,False,82.71216893196106
FB_CONN_016,False,False,True,False,52.226831674575806
FB_CONN_017,False,False,True,False,31.39804720878601
FB_CONN_018,False,False,True,False,240.40438413619995
FB_CONN_019,,False,False,True,372.18383383750916
FB_CONN_020,True,True,True,False,77.61696600914001
FB_CONN_021,True,False,False,False,225.2524335384369
FB_CONN_022,False,False,True,False,82.35128283500671
FB_CONN_023,True,False,False,False,106.27793335914612
FB_CONN_024,False,True,False,False,97.11462497711182
FB_CONN_025,False,False,True,False,97.5938127040863
FB_CONN_026,False,False,True,False,203.17720222473145
FB_CONN_027,True,False,False,False,111.96755051612854
FB_CONN_028,False,False,True,False,100.71909880638123
FB_CONN_029,False,False,True,False,97.66524529457092
FB_CONN_030,False,False,True,False,66.83002424240112
FB_CONN_031,True,False,False,False,88.31936526298523
FB_CONN_032,False,False,True,False,120.70798373222351
FB_CONN_033,False,False,True,False,45.36274576187134
FB_CONN_034,False,False,True,False,80.1356348991394
FB_CONN_035,,True,False,True,372.16061520576477
FB_CONN_036,False,False,True,False,102.406005859375
FB_CONN_037,False,False,True,False,91.24920725822449
FB_CONN_038,False,False,True,False,62.973318338394165
FB_CONN_039,False,False,True,False,228.98427629470825
FB_CONN_040,False,True,False,False,311.76171708106995
FB_CONN_041,True,False,False,False,56.488093852996826
FB_CONN_042,False,False,True,False,215.59042096138
FB_CONN_043,False,True,False,False,78.36351299285889
FB_CONN_044,True,False,False,False,177.59843397140503
FB_CONN_045,False,False,True,False,78.93754005432129
FB_CONN_046,True,False,False,False,116.81264662742615
FB_CONN_047,True,False,False,False,364.7093541622162
FB_CONN_048,False,True,False,False,109.05533647537231
FB_CONN_049,False,False,True,False,64.18203520774841
