id,pred,gt,correct,invalid,elapsed
FB_BM_000,1,,False,False,23.16477131843567
FB_BM_001,3653,,False,False,26.073015213012695
FB_BM_002,1,,False,False,17.358639240264893
FB_BM_003,1,,False,False,17.25574278831482
FB_BM_004,1,,False,False,22.821730375289917
FB_BM_005,1,,False,False,38.74311637878418
FB_BM_006,1,,False,False,37.4951810836792
FB_BM_007,1,,False,False,21.78643274307251
FB_BM_008,1,,False,False,25.93279457092285
FB_BM_009,1,,False,False,23.094446659088135
FB_BM_010,1,,False,False,28.643289804458618
FB_BM_011,1,,False,False,21.982851028442383
FB_BM_012,1,,False,False,30.251778602600098
FB_BM_013,1,,False,False,42.77918767929077
FB_BM_014,1,,False,False,25.256711959838867
FB_BM_015,1,,False,False,44.626155614852905
FB_BM_016,3418,,False,False,46.22095727920532
FB_BM_017,1,,False,False,18.45995330810547
FB_BM_018,1,,False,False,18.74611258506775
FB_BM_019,1,,False,False,64.4113507270813
FB_BM_020,1,,False,False,34.398956298828125
FB_BM_021,1,,False,False,25.409111499786377
FB_BM_022,1,,False,False,47.995888233184814
FB_BM_023,1,,False,False,21.006664276123047
FB_BM_024,1,,False,False,37.05838227272034
FB_BM_025,1,,False,False,18.458322525024414
FB_BM_026,1,,False,False,25.893417835235596
FB_BM_027,1,,False,False,37.18929195404053
FB_BM_028,1,,False,False,22.137619256973267
FB_BM_029,1,,False,False,16.117411851882935
FB_BM_030,1,,False,False,25.595444679260254
FB_BM_031,1,,False,False,25.663182973861694
FB_BM_032,1,,False,False,31.795555353164673
FB_BM_033,2,,False,False,52.891645669937134
FB_BM_034,3032,,False,False,34.844725370407104
FB_BM_035,1,,False,False,33.29240012168884
FB_BM_036,1,,False,False,26.660613298416138
FB_BM_037,1,,False,False,27.15478825569153
FB_BM_038,1,,False,False,25.19211721420288
FB_BM_039,1,,False,False,19.82962465286255
FB_BM_040,1,,False,False,39.93640112876892
FB_BM_041,1,,False,False,30.22472620010376
FB_BM_042,1,,False,False,60.60125994682312
FB_BM_043,1,,False,False,23.069780349731445
FB_BM_044,1,,False,False,22.207062244415283
FB_BM_045,3011,,False,False,25.88225507736206
FB_BM_046,1,,False,False,27.563186645507812
FB_BM_047,1,,False,False,24.440181493759155
FB_BM_048,1,,False,False,23.284631490707397
FB_BM_049,1,,False,False,31.8635094165802
