id,gt,pred,correct,invalid,elapsed
FB_MF_000,8,,False,True,130.2253394126892
FB_MF_001,2,,False,True,37.047595262527466
FB_MF_002,9,,False,True,31.86531710624695
FB_MF_003,2,,False,True,31.33790922164917
FB_MF_004,2,,False,True,31.927039623260498
FB_MF_005,9,,False,True,31.54505705833435
FB_MF_006,6,,False,True,31.25088906288147
FB_MF_007,3,,False,True,31.669966459274292
FB_MF_008,1,,False,True,32.2940731048584
FB_MF_009,13,,False,True,32.14643454551697
FB_MF_010,5,,False,True,31.793076276779175
FB_MF_011,1,,False,True,32.37806820869446
FB_MF_012,2,,False,True,32.063559770584106
FB_MF_013,46,,False,True,32.9442663192749
FB_MF_014,1,,False,True,31.633146047592163
FB_MF_015,1,,False,True,31.920258283615112
FB_MF_016,53,,False,True,31.571043014526367
FB_MF_017,6,,False,True,31.79648232460022
FB_MF_018,4,,False,True,31.6187584400177
FB_MF_019,7,,False,True,31.78351616859436
FB_MF_020,10,,False,True,32.17707133293152
FB_MF_021,10,,False,True,31.954538822174072
FB_MF_022,1,,False,True,31.998202562332153
FB_MF_023,7,,False,True,31.596487760543823
FB_MF_024,5,,False,True,32.07322120666504
FB_MF_025,21,,False,True,31.797065496444702
FB_MF_026,2,,False,True,32.20640158653259
FB_MF_027,7,,False,True,31.54092240333557
FB_MF_028,13,,False,True,31.995937824249268
FB_MF_029,12,,False,True,31.731138467788696
FB_MF_030,9,,False,True,32.442415952682495
FB_MF_031,20,,False,True,32.16216278076172
FB_MF_032,9,,False,True,31.91368293762207
FB_MF_033,2,,False,True,31.73996639251709
FB_MF_034,13,,False,True,31.97390580177307
FB_MF_035,3,,False,True,32.43183732032776
FB_MF_036,5,,False,True,31.565699577331543
FB_MF_037,26,,False,True,31.283186674118042
FB_MF_038,3,,False,True,32.13399958610535
FB_MF_039,10,,False,True,31.942527294158936
FB_MF_040,7,,False,True,31.60574746131897
FB_MF_041,1,,False,True,31.658815622329712
FB_MF_042,9,,False,True,31.921839952468872
FB_MF_043,3,,False,True,31.413723945617676
FB_MF_044,9,,False,True,31.93616008758545
FB_MF_045,10,,False,True,31.446972608566284
FB_MF_046,16,,False,True,31.668819665908813
FB_MF_047,8,,False,True,31.71453022956848
FB_MF_048,9,,False,True,32.10231900215149
FB_MF_049,10,,False,True,32.65904116630554
