id,gt,pred,correct,invalid,elapsed
FB_MF_000,8,,False,True,31.719310998916626
FB_MF_001,2,,False,True,31.85186791419983
FB_MF_002,9,,False,True,31.759918451309204
FB_MF_003,2,,False,True,32.024184226989746
FB_MF_004,2,,False,True,31.433115243911743
FB_MF_005,9,,False,True,31.96852207183838
FB_MF_006,6,,False,True,32.05531334877014
FB_MF_007,3,,False,True,32.08704209327698
FB_MF_008,1,,False,True,31.641401767730713
FB_MF_009,13,,False,True,31.72371816635132
FB_MF_010,5,,False,True,31.894901752471924
FB_MF_011,1,,False,True,31.94541358947754
FB_MF_012,2,,False,True,31.70599102973938
FB_MF_013,46,,False,True,32.931084871292114
FB_MF_014,1,,False,True,32.14191770553589
FB_MF_015,1,,False,True,31.83585023880005
FB_MF_016,53,,False,True,31.669906616210938
FB_MF_017,6,,False,True,31.975863456726074
FB_MF_018,4,,False,True,31.74033236503601
FB_MF_019,7,,False,True,32.38119339942932
FB_MF_020,10,,False,True,31.846161365509033
FB_MF_021,10,,False,True,32.02023935317993
FB_MF_022,1,,False,True,31.698228120803833
FB_MF_023,7,,False,True,31.73200035095215
FB_MF_024,5,,False,True,31.861069917678833
FB_MF_025,21,,False,True,31.59451651573181
FB_MF_026,2,,False,True,31.679414987564087
FB_MF_027,7,,False,True,31.874513387680054
FB_MF_028,13,,False,True,31.910348892211914
FB_MF_029,12,,False,True,32.193241596221924
FB_MF_030,9,,False,True,31.768369913101196
FB_MF_031,20,,False,True,32.26323485374451
FB_MF_032,9,,False,True,32.33099102973938
FB_MF_033,2,,False,True,33.246723651885986
FB_MF_034,13,,False,True,31.727899312973022
FB_MF_035,3,,False,True,31.738819122314453
FB_MF_036,5,,False,True,31.994528770446777
FB_MF_037,26,,False,True,31.865020513534546
FB_MF_038,3,,False,True,31.750024557113647
FB_MF_039,10,,False,True,31.40439200401306
FB_MF_040,7,,False,True,31.739789247512817
FB_MF_041,1,,False,True,31.329108715057373
FB_MF_042,9,,False,True,32.022268533706665
FB_MF_043,3,,False,True,31.601311922073364
FB_MF_044,9,,False,True,31.654518365859985
FB_MF_045,10,,False,True,31.849045991897583
FB_MF_046,16,,False,True,31.965535640716553
FB_MF_047,8,,False,True,31.70799493789673
FB_MF_048,9,,False,True,32.32518196105957
FB_MF_049,10,,False,True,32.18062710762024
