id,gt,pred,correct,invalid,elapsed
FB_MF_000,8,,False,True,31.811191082000732
FB_MF_001,2,,False,True,31.627059936523438
FB_MF_002,9,,False,True,32.19522476196289
FB_MF_003,2,,False,True,32.07598638534546
FB_MF_004,2,,False,True,31.490776538848877
FB_MF_005,9,,False,True,31.969065189361572
FB_MF_006,6,,False,True,31.616333961486816
FB_MF_007,3,,False,True,31.729610919952393
FB_MF_008,1,,False,True,32.71264100074768
FB_MF_009,13,,False,True,33.3458616733551
FB_MF_010,5,,False,True,32.51093029975891
FB_MF_011,1,,False,True,31.504712104797363
FB_MF_012,2,,False,True,32.470415115356445
FB_MF_013,46,,False,True,31.468964099884033
FB_MF_014,1,,False,True,33.63291573524475
FB_MF_015,1,,False,True,31.534786224365234
FB_MF_016,53,,False,True,32.00121808052063
FB_MF_017,6,,False,True,31.73885941505432
FB_MF_018,4,,False,True,31.90623903274536
FB_MF_019,7,,False,True,32.15101337432861
FB_MF_020,10,,False,True,31.57146406173706
FB_MF_021,10,,False,True,32.28149223327637
FB_MF_022,1,,False,True,31.739198923110962
FB_MF_023,7,,False,True,31.35038447380066
FB_MF_024,5,,False,True,31.453727960586548
FB_MF_025,21,,False,True,31.753686666488647
FB_MF_026,2,,False,True,31.99597430229187
FB_MF_027,7,,False,True,31.988817930221558
FB_MF_028,13,,False,True,32.83827352523804
FB_MF_029,12,,False,True,31.48378610610962
FB_MF_030,9,,False,True,31.638827085494995
FB_MF_031,20,,False,True,31.544913291931152
FB_MF_032,9,,False,True,31.92788290977478
FB_MF_033,2,,False,True,31.8831205368042
FB_MF_034,13,,False,True,31.859373092651367
FB_MF_035,3,,False,True,31.679813385009766
FB_MF_036,5,,False,True,31.294273376464844
FB_MF_037,26,,False,True,31.70786166191101
FB_MF_038,3,,False,True,31.786019802093506
FB_MF_039,10,,False,True,32.10941672325134
FB_MF_040,7,,False,True,32.28057861328125
FB_MF_041,1,,False,True,31.58269166946411
FB_MF_042,9,,False,True,32.13438081741333
FB_MF_043,3,,False,True,31.733215808868408
FB_MF_044,9,,False,True,32.42077994346619
FB_MF_045,10,,False,True,31.778178453445435
FB_MF_046,16,,False,True,31.995805501937866
FB_MF_047,8,,False,True,31.910566806793213
FB_MF_048,9,,False,True,32.02850675582886
FB_MF_049,10,,False,True,31.969642400741577
